Year,Country,Song,Artist,Running_Order,Total_Points,Location
1956,Switzerland,"""Refrain""",Lys Assia,9,0,Lugano
1957,Netherlands,"""Net als toen""",Corry Brokken,6,31,Frankfurt
1958,France,"""Dors, mon amour""",Andre Claveau,3,27,Hilversum
1959,Netherlands,"""Een beetje""",Teddy Scholten,5,21,Cannes
1960,France,"""Tom Pillibi""",Jacqueline Boyer,13,32,London
1961,Luxembourg,"""Nous les amoureux""",Jean-Claude Pascal,14,31,Cannes
1962,France,"""Un premier amour""",Isabelle Aubret,9,26,Luxembourg
1963,Denmark,"""Dansevise""",Grethe and Jorgen Ingmann,8,42,London
1964,Italy,"""Non ho l'età""",Gigliola Cinquetti,12,49,Copenhagen
1965,Luxembourg,"""Poupee de cire, poupee de son""",France Gall,15,32,Naples
1966,Austria,"""Merci, Cherie""",Udo Jurgens,9,31,Luxembourg
1967,United Kingdom,"""Puppet on a String""",Sandie Shaw,11,47,Vienna
1968,Spain,"""La, la, la""",Massiel,15,29,London
1969,Spain,"""Vivo cantando""",Salome,3,18,Madrid
1969,United Kingdom,"""Boom Bang-a-Bang""",Lulu,7,18,Madrid
1969,Netherlands,"""De troubadour""",Lenny Kuhr,8,18,Madrid
1969,France,"""Un jour, un enfant""",Frida Boccara,14,18,Madrid
1970,Ireland,"""All Kinds of Everything""",Dana,12,32,Amsterdam
1971,Monaco,"""Un banc, un arbre, une rue""",Severine,3,128,Dublin
1972,Luxembourg,"""Apres toi""",Vicky Leandros,17,128,Edinburgh
1973,Luxembourg,"""Tu te reconnaitras""",Anne-Marie David,11,129,Luxembourg
1974,Sweden,"""Waterloo""",ABBA,8,24,Brighton
1975,Netherlands,"""Ding-a-dong""",Teach-In,1,152,Stockholm
1976,United Kingdom,"""Save Your Kisses for Me""",Brotherhood of Man,1,164,The Hauge
1977,France,"""L'oiseau et l'enfant""",Marie Myriam,18,135,London
1978,Israel,"""A-Ba-Ni-Bi""",Izhar Cohen and the Alphabeta,18,157,Paris
1979,Israel,"""Hallelujah""",Milk and Honey,10,125,Jerusalem
1980,Ireland,"""What's Another Year""",Johnny Logan,17,143,The Hauge
1981,United Kingdom,"""Making Your Mind Up""",Bucks Fizz,14,136,Dublin
1982,Germany,"""A Bit of Peace""",Nicole,18,161,Harrogate
1983,Luxembourg,"""Si la vie est cadeau""",Corinne Hermes,20,142,Munich
1984,Sweden,"""Diggi-Loo Diggi-Ley""",Herreys,1,145,Luxembourg
1985,Norway,"""La det swinge""",Bobbysocks!,13,123,Gothenburg
1986,Belgium,"""J'aime la vie""",Sandra Kim,13,176,Bergen
1987,Ireland,"""Hold Me Now""",Johnny Logan,20,172,Brussels
1988,Switzerland,"""Ne partez pas sans moi""",Celine Dion,9,137,Dublin
1989,Yugoslavia,"""Rock Me""",Riva,22,137,Lausanne
1990,Italy,"""Insieme: 1992""",Toto Cutugno,19,149,Zagreb
1991,Sweden,"""Fangad av en stormvind""",Carola,8,146,Rome
1992,Ireland,"""Why Me?""",Linda Martin,17,155,Malmo
1993,Ireland,"""In Your Eyes""",Niamh Kavanagh,14,187,Millstreet
1994,Ireland,"""Rock 'n' Roll Kids""",Paul Harrington and Charlie McGettigan,3,226,Dublin
1995,Norway,"""Nocturne""",Secret Garden,5,148,Dublin
1996,Ireland,"""The Voice""",Eimear Quinn,17,162,Oslo
1997,United Kingdom,"""Love Shine a Light""",Katrina and the Waves,24,227,Dublin
1998,Israel,"""Diva""",Dana International,8,172,Birmingham
1999,Sweden,"""Take Me to Your Heaven""",Charlotte Nilsson,15,163,Jerusalem
2000,Denmark,"""Fly on the Wings of Love""",Olsen Brothers,14,195,Stockholm
2001,Estonia,"""Everybody""","Tanel Padar, Dave Benton and 2XL",20,198,Copenhagen
2002,Latvia,"""I Wanna""",Marie N,23,176,Tallinn
2003,Turkey,"""Everyway That I Can""",Sertab Erener,4,167,Riga
2004,Ukraine,"""Wild Dances""",Ruslana,10,280,Istanbul
2005,Greece,"""My Number One""",Helena Paparizou,19,230,Kyiv
2006,Finland,"""Hard Rock Hallelujah""",Lordi,17,292,Athens
2007,Serbia,"""Molitva""",Marija Serifovic,17,268,Helsimki
2008,Russia,"""Believe""",Dima Bilan,24,272,Belgrade
2009,Norway,"""Fairytale""",Alexander Rybak,20,387,Moscow
2010,Germany,"""Satellite""",Lena,22,246,Oslo
2011,Azerbaijan,"""Running Scared""",Ell and Nikki,19,221,Dusseldorf
2012,Sweden,"""Euphoria""",Loreen,17,372,Baku
2013,Denmark,"""Only Teardrops""",Emmelie de Forest,18,281,Malmo
2014,Austria,"""Rise Like a Phoenix""",Conchita Wurst,11,290,Copenhagen
2015,Sweden,"""Heroes""",Mans Zelmerlow,10,365,Vienna
2016,Ukraine,"""1944""",Jamala,21,534,Stockholm
2017,Portugal,"""Amar pelos dois""",Salvador Sobral,11,758,Kyiv
2018,Israel,"""Toy""",Netta,22,529,Lisbon
2019,Netherlands,"""Arcade""",Duncan Laurence,12,498,Tel Aviv
2021,Italy,"""Zitti e buoni""",Maneskin,24,524,Rotterdam
2022,Ukraine,"""Stefania""",Kalush Orchestra,12,631,Turin
2023,Sweden,"""Tattoo""",Loreen,9,583,Liverpool
2024,Switzerland,"""The Code""",Nemo,21,591,Malmo
2025,Austria,"""Wasted Love""",JJ,9,436,Basel
