Country,Year,Points_type,From,To,Points
basel,2025,Points given by televoters,albania,greece,12
basel,2025,Points given by televoters,albania,italy,10
basel,2025,Points given by televoters,albania,luxembourg,8
basel,2025,Points given by televoters,albania,israel,7
basel,2025,Points given by televoters,albania,austria,6
basel,2025,Points given by televoters,albania,estonia,5
basel,2025,Points given by televoters,albania,germany,4
basel,2025,Points given by televoters,albania,san marino,3
basel,2025,Points given by televoters,albania,sweden,2
basel,2025,Points given by televoters,albania,netherlands,1
basel,2025,Points given by the jury,albania,france,12
basel,2025,Points given by the jury,albania,spain,10
basel,2025,Points given by the jury,albania,switzerland,8
basel,2025,Points given by the jury,albania,austria,7
basel,2025,Points given by the jury,albania,greece,6
basel,2025,Points given by the jury,albania,israel,5
basel,2025,Points given by the jury,albania,sweden,4
basel,2025,Points given by the jury,albania,netherlands,3
basel,2025,Points given by the jury,albania,san marino,2
basel,2025,Points given by the jury,albania,portugal,1
basel,2025,Points given by televoters,armenia,estonia,12
basel,2025,Points given by televoters,armenia,france,10
basel,2025,Points given by televoters,armenia,greece,8
basel,2025,Points given by televoters,armenia,austria,7
basel,2025,Points given by televoters,armenia,sweden,6
basel,2025,Points given by televoters,armenia,germany,5
basel,2025,Points given by televoters,armenia,norway,4
basel,2025,Points given by televoters,armenia,albania,3
basel,2025,Points given by televoters,armenia,netherlands,2
basel,2025,Points given by televoters,armenia,finland,1
basel,2025,Points given by the jury,armenia,france,12
basel,2025,Points given by the jury,armenia,finland,10
basel,2025,Points given by the jury,armenia,austria,8
basel,2025,Points given by the jury,armenia,switzerland,7
basel,2025,Points given by the jury,armenia,sweden,6
basel,2025,Points given by the jury,armenia,malta,5
basel,2025,Points given by the jury,armenia,ukraine,4
basel,2025,Points given by the jury,armenia,netherlands,3
basel,2025,Points given by the jury,armenia,estonia,2
basel,2025,Points given by the jury,armenia,latvia,1
basel,2025,Points given by televoters,australia,israel,12
basel,2025,Points given by televoters,australia,finland,10
basel,2025,Points given by televoters,australia,sweden,8
basel,2025,Points given by televoters,australia,greece,7
basel,2025,Points given by televoters,australia,estonia,6
basel,2025,Points given by televoters,australia,malta,5
basel,2025,Points given by televoters,australia,albania,4
basel,2025,Points given by televoters,australia,austria,3
basel,2025,Points given by televoters,australia,latvia,2
basel,2025,Points given by televoters,australia,poland,1
basel,2025,Points given by the jury,australia,greece,12
basel,2025,Points given by the jury,australia,latvia,10
basel,2025,Points given by the jury,australia,malta,8
basel,2025,Points given by the jury,australia,austria,7
basel,2025,Points given by the jury,australia,sweden,6
basel,2025,Points given by the jury,australia,poland,5
basel,2025,Points given by the jury,australia,denmark,4
basel,2025,Points given by the jury,australia,estonia,3
basel,2025,Points given by the jury,australia,finland,2
basel,2025,Points given by the jury,australia,switzerland,1
basel,2025,Points given by televoters,austria,germany,12
basel,2025,Points given by televoters,austria,italy,10
basel,2025,Points given by televoters,austria,estonia,8
basel,2025,Points given by televoters,austria,israel,7
basel,2025,Points given by televoters,austria,albania,6
basel,2025,Points given by televoters,austria,poland,5
basel,2025,Points given by televoters,austria,sweden,4
basel,2025,Points given by televoters,austria,netherlands,3
basel,2025,Points given by televoters,austria,finland,2
basel,2025,Points given by televoters,austria,iceland,1
basel,2025,Points given by the jury,austria,finland,12
basel,2025,Points given by the jury,austria,malta,10
basel,2025,Points given by the jury,austria,denmark,8
basel,2025,Points given by the jury,austria,united kingdom,7
basel,2025,Points given by the jury,austria,france,6
basel,2025,Points given by the jury,austria,sweden,5
basel,2025,Points given by the jury,austria,latvia,4
basel,2025,Points given by the jury,austria,estonia,3
basel,2025,Points given by the jury,austria,netherlands,2
basel,2025,Points given by the jury,austria,luxembourg,1
basel,2025,Points given by televoters,azerbaijan,israel,12
basel,2025,Points given by televoters,azerbaijan,austria,10
basel,2025,Points given by televoters,azerbaijan,estonia,8
basel,2025,Points given by televoters,azerbaijan,albania,7
basel,2025,Points given by televoters,azerbaijan,norway,6
basel,2025,Points given by televoters,azerbaijan,finland,5
basel,2025,Points given by televoters,azerbaijan,ukraine,4
basel,2025,Points given by televoters,azerbaijan,sweden,3
basel,2025,Points given by televoters,azerbaijan,france,2
basel,2025,Points given by televoters,azerbaijan,malta,1
basel,2025,Points given by the jury,azerbaijan,israel,12
basel,2025,Points given by the jury,azerbaijan,italy,10
basel,2025,Points given by the jury,azerbaijan,ukraine,8
basel,2025,Points given by the jury,azerbaijan,estonia,7
basel,2025,Points given by the jury,azerbaijan,portugal,6
basel,2025,Points given by the jury,azerbaijan,spain,5
basel,2025,Points given by the jury,azerbaijan,poland,4
basel,2025,Points given by the jury,azerbaijan,netherlands,3
basel,2025,Points given by the jury,azerbaijan,germany,2
basel,2025,Points given by the jury,azerbaijan,switzerland,1
basel,2025,Points given by televoters,belgium,israel,12
basel,2025,Points given by televoters,belgium,poland,10
basel,2025,Points given by televoters,belgium,france,8
basel,2025,Points given by televoters,belgium,albania,7
basel,2025,Points given by televoters,belgium,greece,6
basel,2025,Points given by televoters,belgium,netherlands,5
basel,2025,Points given by televoters,belgium,sweden,4
basel,2025,Points given by televoters,belgium,austria,3
basel,2025,Points given by televoters,belgium,estonia,2
basel,2025,Points given by televoters,belgium,italy,1
basel,2025,Points given by the jury,belgium,austria,12
basel,2025,Points given by the jury,belgium,estonia,10
basel,2025,Points given by the jury,belgium,switzerland,8
basel,2025,Points given by the jury,belgium,latvia,7
basel,2025,Points given by the jury,belgium,sweden,6
basel,2025,Points given by the jury,belgium,italy,5
basel,2025,Points given by the jury,belgium,finland,4
basel,2025,Points given by the jury,belgium,netherlands,3
basel,2025,Points given by the jury,belgium,poland,2
basel,2025,Points given by the jury,belgium,germany,1
basel,2025,Points given by televoters,croatia,estonia,12
basel,2025,Points given by televoters,croatia,albania,10
basel,2025,Points given by televoters,croatia,sweden,8
basel,2025,Points given by televoters,croatia,finland,7
basel,2025,Points given by televoters,croatia,italy,6
basel,2025,Points given by televoters,croatia,austria,5
basel,2025,Points given by televoters,croatia,norway,4
basel,2025,Points given by televoters,croatia,germany,3
basel,2025,Points given by televoters,croatia,ukraine,2
basel,2025,Points given by televoters,croatia,iceland,1
basel,2025,Points given by the jury,croatia,italy,12
basel,2025,Points given by the jury,croatia,austria,10
basel,2025,Points given by the jury,croatia,switzerland,8
basel,2025,Points given by the jury,croatia,latvia,7
basel,2025,Points given by the jury,croatia,israel,6
basel,2025,Points given by the jury,croatia,estonia,5
basel,2025,Points given by the jury,croatia,greece,4
basel,2025,Points given by the jury,croatia,sweden,3
basel,2025,Points given by the jury,croatia,ukraine,2
basel,2025,Points given by the jury,croatia,norway,1
basel,2025,Points given by televoters,cyprus,greece,12
basel,2025,Points given by televoters,cyprus,israel,10
basel,2025,Points given by televoters,cyprus,ukraine,8
basel,2025,Points given by televoters,cyprus,estonia,7
basel,2025,Points given by televoters,cyprus,austria,6
basel,2025,Points given by televoters,cyprus,norway,5
basel,2025,Points given by televoters,cyprus,poland,4
basel,2025,Points given by televoters,cyprus,france,3
basel,2025,Points given by televoters,cyprus,armenia,2
basel,2025,Points given by televoters,cyprus,netherlands,1
basel,2025,Points given by the jury,cyprus,greece,12
basel,2025,Points given by the jury,cyprus,france,10
basel,2025,Points given by the jury,cyprus,netherlands,8
basel,2025,Points given by the jury,cyprus,austria,7
basel,2025,Points given by the jury,cyprus,switzerland,6
basel,2025,Points given by the jury,cyprus,israel,5
basel,2025,Points given by the jury,cyprus,albania,4
basel,2025,Points given by the jury,cyprus,italy,3
basel,2025,Points given by the jury,cyprus,sweden,2
basel,2025,Points given by the jury,cyprus,san marino,1
basel,2025,Points given by televoters,czechia,ukraine,12
basel,2025,Points given by televoters,czechia,israel,10
basel,2025,Points given by televoters,czechia,poland,8
basel,2025,Points given by televoters,czechia,sweden,7
basel,2025,Points given by televoters,czechia,estonia,6
basel,2025,Points given by televoters,czechia,albania,5
basel,2025,Points given by televoters,czechia,austria,4
basel,2025,Points given by televoters,czechia,finland,3
basel,2025,Points given by televoters,czechia,norway,2
basel,2025,Points given by televoters,czechia,germany,1
basel,2025,Points given by the jury,czechia,germany,12
basel,2025,Points given by the jury,czechia,united kingdom,10
basel,2025,Points given by the jury,czechia,france,8
basel,2025,Points given by the jury,czechia,netherlands,7
basel,2025,Points given by the jury,czechia,norway,6
basel,2025,Points given by the jury,czechia,lithuania,5
basel,2025,Points given by the jury,czechia,portugal,4
basel,2025,Points given by the jury,czechia,italy,3
basel,2025,Points given by the jury,czechia,malta,2
basel,2025,Points given by the jury,czechia,denmark,1
basel,2025,Points given by televoters,denmark,sweden,12
basel,2025,Points given by televoters,denmark,iceland,10
basel,2025,Points given by televoters,denmark,israel,8
basel,2025,Points given by televoters,denmark,poland,7
basel,2025,Points given by televoters,denmark,estonia,6
basel,2025,Points given by televoters,denmark,finland,5
basel,2025,Points given by televoters,denmark,ukraine,4
basel,2025,Points given by televoters,denmark,austria,3
basel,2025,Points given by televoters,denmark,lithuania,2
basel,2025,Points given by televoters,denmark,germany,1
basel,2025,Points given by the jury,denmark,latvia,12
basel,2025,Points given by the jury,denmark,switzerland,10
basel,2025,Points given by the jury,denmark,italy,8
basel,2025,Points given by the jury,denmark,sweden,7
basel,2025,Points given by the jury,denmark,finland,6
