GivingCountry,ReceivingCountry,Points
albania,australia,7
albania,spain,24
albania,italy,74
albania,turkey,54
albania,serbia,19
albania,bosnia & herzegovina,21
albania,north macedonia,36
albania,greece,117
albania,cyprus,46
albania,sweden,55
albania,croatia,13
albania,armenia,24
albania,israel,39
albania,san marino,17
albania,belgium,8
albania,france,45
albania,malta,15
albania,norway,29
albania,ukraine,23
albania,portugal,7
albania,luxembourg,12
albania,estonia,26
albania,united kingdom,22
albania,the netherlands,7
albania,finland,11
albania,israel ,3
albania,azerbaijan,21
albania,montenegro,6
albania,germany,27
albania,ukraine ,8
albania,austria,9
albania,czech republic,1
albania,switzerland,49
albania,slovenia,4
albania,netherlands,9
albania,russia,18
albania,serbia & montenegro,13
albania,moldova,10
albania,bulgaria,13
albania,romania,10
albania,denmark,2
albania,iceland,6
albania,poland,1
albania, australia,2
albania,ireland,7
armenia,north macedonia,7
armenia,latvia,3
armenia,moldova,14
armenia,hungary,3
armenia,france,78
armenia,germany,12
armenia,ukraine,70
armenia,georgia,60
armenia,ireland,5
armenia,czech republic,1
armenia,switzerland,21
armenia,bulgaria,18
armenia,austria,15
armenia,israel,19
armenia,netherlands,7
armenia,montenegro,20
armenia,albania,3
armenia,russia,89
armenia,norway,34
armenia,romania,7
armenia,serbia,21
armenia,sweden,42
armenia,greece,81
armenia,spain,31
armenia,bosnia & herzegovina,6
armenia,belgium,13
armenia,italy,30
armenia,united kingdom,12
armenia,australia,6
armenia,iceland,5
armenia,finland,18
armenia,estonia,5
armenia,san marino,3
armenia,malta,19
armenia,croatia,8
armenia,cyprus,20
armenia,azerbaijan,1
armenia,the netherlands,4
armenia,belarus,23
armenia,lithuania,2
armenia,denmark,10
armenia,portugal,34
armenia,poland,2
armenia,turkey,4
australia,france,20
australia,switzerland,18
australia,portugal,15
australia,sweden,70
australia,azerbaijan,4
australia,czech republic,6
australia,denmark,19
australia,united kingdom,33
australia,italy,26
australia,finland,14
australia,moldova,16
australia,israel,47
australia,the netherlands,13
australia,belgium,39
australia,poland,10
australia,estonia,23
australia,bulgaria,16
australia,slovenia,1
australia,armenia,2
australia,lithuania,22
australia,luxembourg,2
australia,spain,28
australia,germany,13
australia,austria,24
australia,cyprus,16
